pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,821.8511213130307
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,849.8852405547216
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,869.0363252698857
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,861.8749860059286
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,850.2859953315848
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,844.1459988525957
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,839.7507091915834
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,826.5235229408613
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,844.6620078073535
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,865.978133083137
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,867.8962703394401
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,860.9404029024273
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,848.0570916303118
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,842.7888298363439
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,832.8848483067447
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,846.1177838076065
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,864.0701155803247
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,862.5277170281305
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,854.8289897103582
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,844.0005567451192
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,837.8730959942932
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,837.5637124911443
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,848.7773218412802
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,864.1778295866906
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,862.4088159918746
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,865.7689410065377
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,858.4411588744025
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,854.008170074493
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,855.9844153123182
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,880.8744746884171
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,853.6839268993679
